Category/Type	icd10	Description	icd10_ccode	shortname
Drug Related Adverse Events	T434	Poisoning by butyrophenone and thioxanthene neuroleptics	ICD10:T43.4	drugadverse
Drug Related Adverse Events	T435	Poisoning by other and unspecified antipsychotics and neuroleptics	ICD10:T43.5	drugadverse
Drug Related Adverse Events	T438	Poisoning by other psychotropic drugs, not elsewhere classified	ICD10:T43.8	drugadverse
Drug Related Adverse Events	T445	Poisoning by predominantly beta-adrenoreceptor agonists, not elsewhere classified	ICD10:T44.5	drugadverse
Drug Related Adverse Events	T447	Poisoning by beta-Adrenoreceptor antagonists, not elsewhere classified	ICD10:T44.7	drugadverse
Drug Related Adverse Events	T450	Poisoning by antiallergic and antiemetic drugs	ICD10:T45.0	drugadverse
Drug Related Adverse Events	T451	Poisoning by antineoplastic and immunosuppressive drugs	ICD10:T45.1	drugadverse
Drug Related Adverse Events	T455	Poisoning by anticoagulants	ICD10:T45.5	drugadverse
Drug Related Adverse Events	T457	Poisoning by anticoagulant antagonists, vitamin K and other coagulants	ICD10:T45.7	drugadverse
Drug Related Adverse Events	T458	Poisoning by other primarily systemic and haematological agents	ICD10:T45.8	drugadverse
Drug Related Adverse Events	T460	Poisoning by cardiac-stimulant glycosides and drugs of similar action	ICD10:T46.0	drugadverse
Drug Related Adverse Events	T461	Poisoning by calcium-channel blockers	ICD10:T46.1	drugadverse
Drug Related Adverse Events	T462	Poisoning by other antidysrhythmic drugs, not elsewhere classified	ICD10:T46.2	drugadverse
Drug Related Adverse Events	T464	Poisoning by angiotensin-converting-enzyme inhibitors	ICD10:T46.4	drugadverse
Drug Related Adverse Events	T465	Poisoning by other antihypertensive drugs, not elsewhere classified	ICD10:T46.5	drugadverse
Drug Related Adverse Events	T474	Poisoning by other laxatives	ICD10:T47.4	drugadverse
Drug Related Adverse Events	T480	Poisoning by oxytocic drugs	ICD10:T48.0	drugadverse
Drug Related Adverse Events	T486	Poisoning by antiasthmatics, not elsewhere classified	ICD10:T48.6	drugadverse
Drug Related Adverse Events	T490	Poisoning by local antifungal, anti-infective and anti-inflammatory drugs, not elsewhere classified	ICD10:T49.0	drugadverse
Drug Related Adverse Events	T501	Poisoning by loop [high-ceiling] diuretics	ICD10:T50.1	drugadverse
Drug Related Adverse Events	T502	Poisoning by carbonic-anhydrase inhibitors, benzothiadiazides and other diuretics	ICD10:T50.2	drugadverse
Drug Related Adverse Events	T509	Poisoning by other and unspecified drugs, medicaments and biological substances	ICD10:T50.9	drugadverse
Drug Related Adverse Events	T808	Other complications following infusion, transfusion and therapeutic injection	ICD10:T80.8	drugadverse
Drug Related Adverse Events	T809	Unspecified complication following infusion, transfusion and therapeutic injection	ICD10:T80.9	drugadverse
Drug Related Adverse Events	T8180	Complication of inhalation therapy	ICD10:T81.80	drugadverse
Drug Related Adverse Events	T882	Shock due to anaesthesia	ICD10:T88.2	drugadverse
Drug Related Adverse Events	T883	Malignant hyperthermia due to anaesthesia	ICD10:T88.3	drugadverse
Drug Related Adverse Events	T886	Anaphylactic shock due to adverse effect of correct drug or medicament properly administered	ICD10:T88.6	drugadverse
Adverse events related to fluid management	E860	Dehydration	ICD10:E86.0	fluidmgmt
Adverse events related to fluid management	E868	Other volume depletion	ICD10:E86.8	fluidmgmt
Adverse events related to fluid management	E877	Fluid overload	ICD10:E87.7	fluidmgmt
Adverse events related to fluid management	G372	Central pontine myelinolysis	ICD10:G37.2	fluidmgmt
Adverse events related to fluid management	T503	Poisoning by electrolytic, caloric and water-balance agents	ICD10:T50.3	fluidmgmt
Adverse events related to fluid management	T808	Other complications following infusion, transfusion and therapeutic injection	ICD10:T80.8	fluidmgmt
Adverse events related to fluid management	T809	Unspecified complication following infusion, transfusion and therapeutic injection	ICD10:T80.9	fluidmgmt
Obstetrical Complications affecting mother	O086	Damage to pelvic organs and tissues following abortion and ectopic molar pregnancy	ICD10:O08.6	mother
Obstetrical Complications affecting mother	O2950	Other complications of spinal and epidural anaesthesia during pregnancy; 	ICD10:O29.50	mother
Obstetrical Complications affecting mother	O7020	Third degree perineal laceration during delivery; Includes: Perineal laceration, rupture or tear as in O70.1, also involving anal sphincter during delivery, perineal laceration, rupture or tear as in O70.1, also involving rectovaginal septum during delivery, Perineal laceration, rupture or tear as in O70.1, also involving sphincter NOS during delivery; Excludes:that involving anal or rectal mucosa (O70.3); 	ICD10:O70.20	mother
Obstetrical Complications affecting mother	O7030	Fourth degree perineal laceration during delivery; Includes: Perineal laceration, rupture or tear as in O70.2, also involving anal mucosa during delivery, Perineal laceration, rupture or tear as in O70.2, also involving rectal mucosa during delivery; 	ICD10:O70.30	mother
Obstetrical Complications affecting mother	O7090	Perineal laceration during delivery, unspecified; 	ICD10:O70.90	mother
Obstetrical Complications affecting mother	O7110	Dehiscence (without extension) of old uterine scar during labour 	ICD10:O71.10	mother
Obstetrical Complications affecting mother	O7111	Dehiscence of uterus with extension during labour 	ICD10:O71.11	mother
Obstetrical Complications affecting mother	O7118	Other rupture of uterus during labour 	ICD10:O71.18	mother
Obstetrical Complications affecting mother	O7130	Obstetric laceration of cervix; Includes: Annular detachment of cervix; 	ICD10:O71.30	mother
Obstetrical Complications affecting mother	O7140	Obstetric high vaginal laceration alone; Includes: Laceration of middle or upper third of vaginal wall without mention of perineal laceration; Excludes: with perineal laceration (O70.-); 	ICD10:O71.40	mother
Obstetrical Complications affecting mother	O7150	Other obstetric injury to pelvic organs; Includes: Obstetric injury to bladder, Obstetric injury to urethra; 	ICD10:O71.50	mother
Obstetrical Complications affecting mother	O7160	Obstetric damage to pelvic joints & ligaments 	ICD10:O71.60	mother
Obstetrical Complications affecting mother	O7170	Obstetric haematoma of pelvis; Includes: Obstetric haematoma of perineum, Obstetric haematoma of vagina, Obstetric haematoma of vulva;	ICD10:O71.70	mother
Obstetrical Complications affecting mother	O7180	Other specified obstetric trauma 	ICD10:O71.80	mother
Obstetrical Complications affecting mother	O7200	Third-stage haemorrhage; Includes: Haemorrhage associated with retained, trapped or adherent placenta, Retained placenta NOS; Code Also any morbidly adherent placenta (O43.2.-);	ICD10:O72.00	mother
Obstetrical Complications affecting mother	O7210	Other immediate postpartum Haemorrhage; Includes: Haemorrhage following delivery of placenta, Postpartum haemorrhage (atonic) NOS;	ICD10:O72.10	mother
Obstetrical Complications affecting mother	O7220	Delayed & secondary postpartum haemorrhage 	ICD10:O72.20	mother
Obstetrical Complications affecting mother	O7420	Cardiac complications of anaesthesia during labour and delivery; Includes: Cardiac arrest due to anaesthesia during labour and delivery, Cardiac failure due to anaesthesia during labour and delivery; 	ICD10:O74.20	mother
Obstetrical Complications affecting mother	O7430	Central nervous system complications of anaesthesia during labour and delivery; Includes: Cerebral anoxia due to anaesthesia during labour and delivery; 	ICD10:O74.30	mother
Obstetrical Complications affecting mother	O7450	Toxic reaction to local anaesthesia during labour and delivery; 	ICD10:O74.50	mother
Obstetrical Complications affecting mother	O7460	Other complications of spinal and epidural anaesthesia during labour and delivery; 	ICD10:O74.60	mother
Obstetrical Complications affecting mother	O7480	Other complications of anaesthesia during labour and delivery; 	ICD10:O74.80	mother
Obstetrical Complications affecting mother	O7510	Shock during or following labour and delivery; Includes: Obstetric shock; 	ICD10:O75.10	mother
Obstetrical Complications affecting mother	O7530	Other infection during labour	ICD10:O75.30	mother
Obstetrical Complications affecting mother	O7540	Other complications of obstetric surgery and procedures; Includes: Cardiac arrest following cesarean or other obstetric surgery or procedures, including delivery NOS, Cardiac failure following cesarean or other obstetric surgery or procedures, including delivery NOS, Cerebral anoxia following cesarean or other obstetric surgery or procedures, including delivery NOS, Conditions in N99.0, N99.8, N99.9; Excludes: complications of anaesthesia during labour and delivery (O74.-); 	ICD10:O75.40	mother
Obstetrical Complications affecting mother	O7560	Delayed delivery after spontaneous or unspecified rupture of membranes 	ICD10:O75.60	mother
Obstetrical Complications affecting mother	O8500	Puerperal sepsis	ICD10:O85.00	mother
Obstetrical Complications affecting mother	O8600	Infection of obstetric surgical wound; Includes: Infected caesarean section wound following delivery, Infected perineal repair following delivery; 	ICD10:O86.00	mother
Obstetrical Complications affecting mother	O8610	Other infection of genital tract following delivery; Includes: Cervicitis following delivery, Vaginitis following delivery; 	ICD10:O86.10	mother
Obstetrical Complications affecting mother	O8620	Urinary tract infection following delivery; Includes: Conditions in N15.-, N30.-, N34.-, N39.0 following delivery, Conditions in N39.0 following delivery, Conditions in N10-N12, N15.-, N30.-, N34.-, N39.0 following delivery, Conditions in N34.-, N39.0 following delivery, Conditions in, N30.-, N34.-, N39.0 following delivery; 	ICD10:O86.20	mother
Obstetrical Complications affecting mother	O8630	Other genitourinary tract infections following delivery; Includes: Puerperal genitourinary tract infection NOS; 	ICD10:O86.30	mother
Obstetrical Complications affecting mother	O8680	Other specified puerperal infections; 	ICD10:O86.80	mother
Obstetrical Complications affecting mother	O8710	Deep phlebothrombosis in the puerperium; Includes: Deep-vein thrombosis, postpartum, Pelvic thrombophlebitis, postpartum; 	ICD10:O87.10	mother
Obstetrical Complications affecting mother	O8940	Spinal and epidural anaesthesia-induced headache during the puerperium; 	ICD10:O89.40	mother
Obstetrical Complications affecting mother	O8950	Other complications of spinal and epidural anaesthesia during the puerperium; 	ICD10:O89.50	mother
Obstetrical Complications affecting mother	O8980	Other complications of anaesthesia during the puerperium; 	ICD10:O89.80	mother
Obstetrical Complications affecting mother	O9000	Disruption of caesarean section wound; 	ICD10:O90.00	mother
Obstetrical Complications affecting mother	O9010	Disruption of perineal obstetric wound; Includes: Disruption of wound of episiotomy, Disruption of wound of perineal laceration, Secondary perineal tear; 	ICD10:O90.10	mother
Obstetrical Complications affecting mother	O9020	Haematoma of obstetric wound; Includes: Haemorrhage of obstetric wound; 	ICD10:O90.20	mother
Obstetrical Complications affecting fetus	P033	Fetus & newborn affected by vacuum extractor [venthouse]	ICD10:P03.3	fetus
Obstetrical Complications affecting fetus	P120	Cephalhaematoma due to birth injury	ICD10:P12.0	fetus
Obstetrical Complications affecting fetus	P123	Bruising of scalp due to birth injury	ICD10:P12.3	fetus
Obstetrical Complications affecting fetus	P128	Other birth injuries to scalp	ICD10:P12.8	fetus
Obstetrical Complications affecting fetus	P134	Fracture of clavicle due to birth injury	ICD10:P13.4	fetus
Obstetrical Complications affecting fetus	P143	Other brachial plexus birth injuries	ICD10:P14.3	fetus
Obstetrical Complications affecting fetus	P154	Birth injury to face	ICD10:P15.4	fetus
Obstetrical Complications affecting fetus	P158	Other specified birth injuries	ICD10:P15.8	fetus
Obstetrical Complications affecting fetus	P360	Sepsis of newborn due to streptococcus, group B	ICD10:P36.0	fetus
Obstetrical Complications affecting fetus	P361	Sepsis of newborn due to other and unspecified streptococci	ICD10:P36.1	fetus
Obstetrical Complications affecting fetus	P362	Sepsis of newborn due to Staphylococcus aureus	ICD10:P36.2	fetus
Obstetrical Complications affecting fetus	P363	Sepsis of newborn due to other and unspecified staphylococci	ICD10:P36.3	fetus
Obstetrical Complications affecting fetus	P364	Sepsis of newborn due to Escherichia coli	ICD10:P36.4	fetus
Obstetrical Complications affecting fetus	P368	Other bacterial sepsis of newborn	ICD10:P36.8	fetus
Obstetrical Complications affecting fetus	P369	Bacterial sepsis of newborn unspecified	ICD10:P36.9	fetus
Obstetrical Complications affecting fetus	P38	Omphalitis of newborn with or without mild haemorrhage	ICD10:P38	fetus
Complications Directly Related to Surgery	H5980	Lens fragments in eye following cataract surgery	ICD10:H59.80	surgcomp
Complications Directly Related to Surgery	M966	Fracture of bone following insertion of orthopaedic implant, joint prosthesis, or bone plate	ICD10:M96.6	surgcomp
Complications Directly Related to Surgery	O7540	Other complications of obstetric surgery and procedures; Includes: Cardiac arrest following cesarean or other obstetric surgery or procedures, including delivery NOS, Cardiac failure following cesarean or other obstetric surgery or procedures, including delivery NOS, Cerebral anoxia following cesarean or other obstetric surgery or procedures, including delivery NOS, Conditions in N99.0, N99.8, N99.9; Excludes: complications of anaesthesia during labour and delivery (O74.-); 	ICD10:O75.40	surgcomp
Complications Directly Related to Surgery	O8600	Infection of obstetric surgical wound; Includes: Infected caesarean section wound following delivery, Infected perineal repair following delivery; 	ICD10:O86.00	surgcomp
Complications Directly Related to Surgery	O9000	Disruption of caesarean section wound; 	ICD10:O90.00	surgcomp
Complications Directly Related to Surgery	S26811	Laceration and puncture of heart; Includes: Minor, moderate, major lacerations, puncture, traumatic rupture; With open wound into thoracic cavity	ICD10:S26.811	surgcomp
Complications Directly Related to Surgery	S27001	Traumatic pneumothorax, with open wound into thoracic cavity	ICD10:S27.001	surgcomp
Complications Directly Related to Surgery	S36091	Haematoma NOS, laceration NOS, injury to spleen NOS; With open wound into cavity	ICD10:S36.091	surgcomp
Complications Directly Related to Surgery	S36151	Liver haematoma NOS, laceration NOS, injury to liver NOS; With open wound into cavity	ICD10:S36.151	surgcomp
Complications Directly Related to Surgery	S36411	Laceration of duodenum (without bile duct injury); With open wound into cavity	ICD10:S36.411	surgcomp
Complications Directly Related to Surgery	S36461	Laceration of small intestine, excluding duodenum; With open wound into cavity	ICD10:S36.461	surgcomp
Complications Directly Related to Surgery	S37111	Laceration of ureter; With open wound into cavity	ICD10:S37.111	surgcomp
Complications Directly Related to Surgery	S37211	Laceration of bladder; With open wound into cavity	ICD10:S37.211	surgcomp
Complications Directly Related to Surgery	S37311	Laceration of urethra; With open wound into cavity	ICD10:S37.311	surgcomp
Complications Directly Related to Surgery	T810	Haemorrhage and haematoma complicating a procedure, not elsewhere classified	ICD10:T81.0	surgcomp
Complications Directly Related to Surgery	T811	Shock during or resulting from a procedure, not elsewhere classified	ICD10:T81.1	surgcomp
Complications Directly Related to Surgery	T812	Accidental puncture and laceration during a procedure, not elsewhere classified	ICD10:T81.2	surgcomp
Complications Directly Related to Surgery	T813	Disruption of operation wound, not elsewhere classified	ICD10:T81.3	surgcomp
Complications Directly Related to Surgery	T8152	Perforation due to foreign body accidentally left in body cavity or operation wound following a procedure	ICD10:T81.52	surgcomp
Complications Directly Related to Surgery	T8158	Other specified complication due to foreign body left in body cavity or operation wound following a procedure	ICD10:T81.58	surgcomp
Complications Directly Related to Surgery	T8159	Unspecified complication due to foreign body accidentally left in body cavity or operation wound following a procedure	ICD10:T81.59	surgcomp
Complications Directly Related to Surgery	T816	Acute reaction to foreign substance accidentally left during a procedure	ICD10:T81.6	surgcomp
Complications Directly Related to Surgery	T8181	Emphysema (subcutaneous) resulting from a procedure	ICD10:T81.81	surgcomp
Complications Directly Related to Surgery	T8188	Other complications of procedures, not elsewhere classified	ICD10:T81.88	surgcomp
Complications Directly Related to Surgery	T819	Unspecified complication of procedure	ICD10:T81.9	surgcomp
Traumatic injuries (non-procedural) arising in hospital 	S0100	Open wound of scalp uncomplicated	ICD10:S01.00	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S0101	Open wound of scalp complicated	ICD10:S01.01	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S0110	Open wound of eyelid and periocular area, uncomplicated	ICD10:S01.10	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S0120	Open wound of nose, uncomplicated	ICD10:S01.20	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S0130	Open wound of ear; uncomplicated	ICD10:S01.30	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S0140	Open wound of cheek and temporomandibular area, uncomplicated	ICD10:S01.40	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S0150	Open wound of lip and oral cavity, uncomplicated	ICD10:S01.50	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S0170	Multiple open wounds head; uncomplicated	ICD10:S01.70	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S0180	Open wounds of other parts of head, uncomplicated	ICD10:S01.80	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S0190	Open wound of head, part unspecified, uncomplicated	ICD10:S01.90	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S02000	Fracture of vault of skull; closed	ICD10:S02.000	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S02100	Fracture of base of skull; closed	ICD10:S02.100	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S02200	Fracture of nasal bones; closed	ICD10:S02.200	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S02300	Fracture of orbital floor; closed	ICD10:S02.300	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S02480	Other fracture of malar and maxillary bones; closed	ICD10:S02.480	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S02490	Unspecified fracture of malar and maxillary bones; closed	ICD10:S02.490	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S025	Fracture of tooth	ICD10:S02.5	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S02890	Fractures of other unspecified skull and facial bones; closed	ICD10:S02.890	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S030	Dislocation of jaw	ICD10:S03.0	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S050	Injury of conjunctiva and corneal abrasion without mention of foreign body	ICD10:S05.0	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S051	Contusion of eyeball and orbital tissues	ICD10:S05.1	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S058	Other injuries of eye and orbit	ICD10:S05.8	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S059	Injury of eye and orbit unspecified	ICD10:S05.9	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S060	Concussion	ICD10:S06.0	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S061	Traumatic cerebral oedema	ICD10:S06.1	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S0625	Diffuse brain injury without open intracranial wound	ICD10:S06.25	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S0635	Focal brain injury without open intracranial wound	ICD10:S06.35	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S064	Epidural haemorrhage	ICD10:S06.4	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S065	Traumatic subdural haemorrhage	ICD10:S06.5	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S066	Traumatic subarachnoid haemorrhage	ICD10:S06.6	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S0685	Other intracranial injuries without open intracranial wound	ICD10:S06.85	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S069	Intracranial injury, unspecified	ICD10:S06.9	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S090	Injury of blood vessels of head NEC	ICD10:S09.0	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S098	Other specified injuries of head	ICD10:S09.8	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S099	Unspecified injury of head	ICD10:S09.9	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S101	Other & unspecified superficial injuries of throat	ICD10:S10.1	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S109	Superficial injury of neck, part unspecified	ICD10:S10.9	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S1348	Other sprain & strain of cervical spine	ICD10:S13.48	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S1438	Other and unspecified injury of brachial plexus	ICD10:S14.38	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S202	Contusion of thorax	ICD10:S20.2	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S204	Other superficial injuries of back wall of thorax	ICD10:S20.4	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S208	Superficial injury of other and unspecified parts of thorax	ICD10:S20.8	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S22200	Fracture of sternum; closed	ICD10:S22.200	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S22300	Fracture of rib; closed	ICD10:S22.300	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S22400	Multiple fractures of 2 - 4 ribs; closed	ICD10:S22.400	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S22410	Multiple fractures of 5 or more ribs; closed	ICD10:S22.410	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S22490	Multiple fractures of unspecified number of ribs; closed	ICD10:S22.490	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S27000	Traumatic pneumothorax, without open wound into thoracic cavity	ICD10:S27.000	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S27100	Traumatic haemothorax, without open wound into thoracic cavity	ICD10:S27.100	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S27200	Traumatic haemopneumothorax, without open wound into thoracic cavity	ICD10:S27.200	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S27300	Contusion and haematoma of lung; Without open wound into thoracic cavity	ICD10:S27.300	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S27310	Laceration and puncture of lung; Includes: Minor, moderate, major lacerations, puncture, traumatic rupture; Without open wound into thoracic cavity	ICD10:S27.310	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S27810	Laceration of oesophagus; Includes: Minor, moderate, major lacerations, puncture, traumatic rupture; Without open wound into thoracic cavity	ICD10:S27.810	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S27860	Other and unspecified injury of oesophagus; Without open wound into thoracic cavity	ICD10:S27.860	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S300	Contusion of lower back and pelvis	ICD10:S30.0	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S301	Contusion of abdominal wall	ICD10:S30.1	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S3080	Other superficial injuries of lower back & pelvis	ICD10:S30.80	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S3081	Other superficial injuries of abdominal wall	ICD10:S30.81	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S3088	Other superficial injuries of abdomen, low back & pelvis, part unspecified	ICD10:S30.88	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S309	Superficial injury of abdomen, low back and pelvis, part unspecified	ICD10:S30.9	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S31200	Open wound of penis; uncomplicated	ICD10:S31.200	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S31400	Open wound of vagina and vulva, uncomplicated	ICD10:S31.400	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S32100	Fracture of sacrum; closed	ICD10:S32.100	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S32400	Fracture of acetabulum; closed	ICD10:S32.400	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S32500	Fracture of pubis; closed	ICD10:S32.500	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S32700	Multiple fractures of lumbar spine and pelvis, closed	ICD10:S32.700	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S32800	Fracture of other and unspecified parts of lumbar spine and pelvis, closed	ICD10:S32.800	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S335	Sprain and strain of lumbar spine	ICD10:S33.5	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S351	Injury of inferior vena cava	ICD10:S35.1	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S352	Injury of coeliac or mesenteric artery	ICD10:S35.2	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S355	Injury of iliac blood vessels	ICD10:S35.5	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S36090	Haematoma NOS, laceration NOS, injury to spleen NOS; Without open wound into cavity	ICD10:S36.090	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S36150	Liver haematoma NOS, laceration NOS, injury to liver NOS; Without open wound into cavity	ICD10:S36.150	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S36460	Laceration of small intestine, excluding duodenum; Without open wound into cavity	ICD10:S36.460	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S36610	Laceration of rectum; Without open wound into cavity	ICD10:S36.610	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S36810	Laceration of other intra-abdominal organs; Without open wound into cavity	ICD10:S36.810	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S37000	Haematoma of kidney; Without open wound into cavity	ICD10:S37.000	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S37090	Injury of kidney NOS; Without open wound into cavity	ICD10:S37.090	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S37110	Laceration of ureter; Without open wound into cavity	ICD10:S37.110	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S37190	Injury of NOS ureter; Without open wound into cavity	ICD10:S37.190	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S37210	Laceration of bladder; Without open wound into cavity	ICD10:S37.210	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S37290	Injury NOS of bladder; Without open wound into cavity	ICD10:S37.290	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S37300	Haematoma of urethra; Without open wound into cavity	ICD10:S37.300	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S37310	Laceration of urethra; Without open wound into cavity	ICD10:S37.310	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S37390	Injury NOS of urethra; Without open wound into cavity	ICD10:S37.390	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S37610	Laceration of uterus; Without open wound into cavity	ICD10:S37.610	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S3908	Other and unspecified injury of muscle and tendon of abdomen, lower back and pelvis	ICD10:S39.08	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S398	Other specified injuries of abdomen, lower back and pelvis	ICD10:S39.8	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S399	Unspecified injury of abdomen, lower back and pelvis	ICD10:S39.9	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S400	Contusion of shoulder and upper arm	ICD10:S40.0	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S408	Other superfic injuries of shoulder and upper arm	ICD10:S40.8	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S409	Superficial injury of shoulder & upper arm, unspecified	ICD10:S40.9	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S4110	Open wound of upper arm; uncomplicated	ICD10:S41.10	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S4111	Open wound of upper arm; complicated	ICD10:S41.11	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S42010	Fracture of shaft of clavicle; closed	ICD10:S42.010	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S42020	Fracture of acromial end of clavicle; closed	ICD10:S42.020	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S42090	Fracture of unspecified part of clavicle; closed	ICD10:S42.090	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S42190	Fracture of unspecified part of scapula; closed	ICD10:S42.190	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S42200	Fracture of surgical neck of humerus; closed	ICD10:S42.200	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S42210	Fracture of anatomical neck of humerus; closed	ICD10:S42.210	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S42220	Fracture greater tuberosity of humerus; closed	ICD10:S42.220	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S42280	Fracture of other part of upper end of humerus; closed	ICD10:S42.280	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S42290	Fracture of unspecified part of upper end of humerus; closed	ICD10:S42.290	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S42300	Fracture of shaft of humerus; closed	ICD10:S42.300	hosptrauma
Traumatic injuries (non-procedural) arising in hospital 	S42390	Fracture of unspecified part of humerus; closed	ICD10:S42.390	hosptrauma
