colname,durablename,static,pats,units_cd,mxinsts,nval_num,patvis_null,confidence_num,mxconmod,patvis,pats_null,colid,mod,quantity_num,ccd,name,cid,concept_path,rule,ddomain,mxfacts,valueflag_cd,tval_char,colcd,location_cd,valtype_cd
v038_esphgs_ptnts,_esphgs_ptnts,,684,1,4,,307271,,7,8534,2298,v038_esphgs_ptnts,5,,51,"K20-K31 - Diseases of esophagus, stomach and duodenum (K20-K31)[653,982 facts; 84,922 patients]",38,\i2b2\Diagnosis\ICD10\A20161433\A18916357\,UNKNOWN_DATA_ELEMENT,ICD10,7,,,v038,,
v039_Nnfctv_ptnts_cd,_Nnfctv_ptnts_cd,,149,1,2,,315123,,5,682,2833,v039_Nnfctv_ptnts,5,,23,"K50-K52 - Noninfective enteritis and colitis (K50-K52)[67,604 facts; 23,452 patients]",39,\i2b2\Diagnosis\ICD10\A20161433\A18913767\,UNKNOWN_DATA_ELEMENT,ICD10,5,,,v039,,
v039_Nnfctv_ptnts,_Nnfctv_ptnts,,149,1,2,,315123,,5,682,2833,v039_Nnfctv_ptnts,5,,23,"K50-K52 - Noninfective enteritis and colitis (K50-K52)[67,604 facts; 23,452 patients]",39,\i2b2\Diagnosis\ICD10\A20161433\A18913767\,UNKNOWN_DATA_ELEMENT,ICD10,5,,,v039,,
v040_intstns_ptnts_cd,_intstns_ptnts_cd,,852,1,4,,310440,,9,5365,2130,v040_intstns_ptnts,5,,81,"K55-K64 - Other diseases of intestines (K55-K64)[400,450 facts; 80,955 patients]",40,\i2b2\Diagnosis\ICD10\A20161433\A20125599\,UNKNOWN_DATA_ELEMENT,ICD10,9,,,v040,,
v040_intstns_ptnts,_intstns_ptnts,,852,1,4,,310440,,9,5365,2130,v040_intstns_ptnts,5,,81,"K55-K64 - Other diseases of intestines (K55-K64)[400,450 facts; 80,955 patients]",40,\i2b2\Diagnosis\ICD10\A20161433\A20125599\,UNKNOWN_DATA_ELEMENT,ICD10,9,,,v040,,
v041_rtrprtnm_cd,_rtrprtnm_cd,,81,1,2,,315530,,3,275,2901,v041_rtrprtnm,5,,12,"K65-K68 - Diseases of peritoneum and retroperitoneum (K65-K68)[7,216 facts; 3,639 patients]",41,\i2b2\Diagnosis\ICD10\A20161433\A18905899\,UNKNOWN_DATA_ELEMENT,ICD10,3,,,v041,,
v041_rtrprtnm,_rtrprtnm,,81,1,2,,315530,,3,275,2901,v041_rtrprtnm,5,,12,"K65-K68 - Diseases of peritoneum and retroperitoneum (K65-K68)[7,216 facts; 3,639 patients]",41,\i2b2\Diagnosis\ICD10\A20161433\A18905899\,UNKNOWN_DATA_ELEMENT,ICD10,3,,,v041,,
v042_Dss_ptnts_cd,_Dss_ptnts_cd,,670,1,4,,311389,,5,4416,2312,v042_Dss_ptnts,5,,26,"K70-K77 - Diseases of liver (K70-K77)[232,103 facts; 33,965 patients]",42,\i2b2\Diagnosis\ICD10\A20161433\A18924257\,UNKNOWN_DATA_ELEMENT,ICD10,6,,,v042,,
v042_Dss_ptnts,_Dss_ptnts,,670,1,4,,311389,,5,4416,2312,v042_Dss_ptnts,5,,26,"K70-K77 - Diseases of liver (K70-K77)[232,103 facts; 33,965 patients]",42,\i2b2\Diagnosis\ICD10\A20161433\A18924257\,UNKNOWN_DATA_ELEMENT,ICD10,6,,,v042,,
v043_dgstv_ptnts_cd,_dgstv_ptnts_cd,,173,1,2,,315223,,5,582,2809,v043_dgstv_ptnts,5,,33,"K90-K95 - Other diseases of the digestive system (K90-K95)[41,198 facts; 14,695 patients]",43,\i2b2\Diagnosis\ICD10\A20161433\A20125645\,UNKNOWN_DATA_ELEMENT,ICD10,5,,,v043,,
v043_dgstv_ptnts,_dgstv_ptnts,,173,1,2,,315223,,5,582,2809,v043_dgstv_ptnts,5,,33,"K90-K95 - Other diseases of the digestive system (K90-K95)[41,198 facts; 14,695 patients]",43,\i2b2\Diagnosis\ICD10\A20161433\A20125645\,UNKNOWN_DATA_ELEMENT,ICD10,5,,,v043,,
v044_sbctns_ptnts_cd,_sbctns_ptnts_cd,,414,1,3,,314116,,6,1689,2568,v044_sbctns_ptnts,5,,105,"L80-L99 - Other disorders of the skin and subcutaneous tissue (L80-L99)[251,824 facts; 62,470 patients]",44,\i2b2\Diagnosis\ICD10\A18905900\A18911140\,UNKNOWN_DATA_ELEMENT,ICD10,6,,,v044,,
v044_sbctns_ptnts,_sbctns_ptnts,,414,1,3,,314116,,6,1689,2568,v044_sbctns_ptnts,5,,105,"L80-L99 - Other disorders of the skin and subcutaneous tissue (L80-L99)[251,824 facts; 62,470 patients]",44,\i2b2\Diagnosis\ICD10\A18905900\A18911140\,UNKNOWN_DATA_ELEMENT,ICD10,6,,,v044,,
v045_Infcts_arthrpths_cd,_Infcts_arthrpths_cd,,8,1,2,,315755,,4,50,2974,v045_Infcts_arthrpths,4,,9,"M00-M02 - Infectious arthropathies (M00-M02)[3,842 facts; 1,131 patients]",45,\i2b2\Diagnosis\ICD10\A18911163\A18908496\,UNKNOWN_DATA_ELEMENT,ICD10,4,,,v045,,
v045_Infcts_arthrpths,_Infcts_arthrpths,,8,1,2,,315755,,4,50,2974,v045_Infcts_arthrpths,4,,9,"M00-M02 - Infectious arthropathies (M00-M02)[3,842 facts; 1,131 patients]",45,\i2b2\Diagnosis\ICD10\A18911163\A18908496\,UNKNOWN_DATA_ELEMENT,ICD10,4,,,v045,,
v046_plrthrpths_cd,_plrthrpths_cd,,233,1,2,,312767,,6,3038,2749,v046_plrthrpths,5,,75,"M05-M14 - Inflammatory polyarthropathies (M05-M14)[237,737 facts; 24,862 patients]",46,\i2b2\Diagnosis\ICD10\A18911163\A18921653\,UNKNOWN_DATA_ELEMENT,ICD10,6,,,v046,,
v046_plrthrpths,_plrthrpths,,233,1,2,,312767,,6,3038,2749,v046_plrthrpths,5,,75,"M05-M14 - Inflammatory polyarthropathies (M05-M14)[237,737 facts; 24,862 patients]",46,\i2b2\Diagnosis\ICD10\A18911163\A18921653\,UNKNOWN_DATA_ELEMENT,ICD10,6,,,v046,,
v047_Ostrthrts_ptnts_cd,_Ostrthrts_ptnts_cd,,586,1,4,,307950,,9,7855,2396,v047_Ostrthrts_ptnts,5,,48,"M15-M19 - Osteoarthritis (M15-M19)[589,596 facts; 71,742 patients]",47,\i2b2\Diagnosis\ICD10\A18911163\A18916407\,UNKNOWN_DATA_ELEMENT,ICD10,9,,,v047,,
v047_Ostrthrts_ptnts,_Ostrthrts_ptnts,,586,1,4,,307950,,9,7855,2396,v047_Ostrthrts_ptnts,5,,48,"M15-M19 - Osteoarthritis (M15-M19)[589,596 facts; 71,742 patients]",47,\i2b2\Diagnosis\ICD10\A18911163\A18916407\,UNKNOWN_DATA_ELEMENT,ICD10,9,,,v047,,
v048_cnctv_ptnts_cd,_cnctv_ptnts_cd,,55,1,3,,314405,,6,1400,2927,v048_cnctv_ptnts,4,,26,"M30-M36 - Systemic connective tissue disorders (M30-M36)[106,861 facts; 8,732 patients]",48,\i2b2\Diagnosis\ICD10\A18911163\A18919097\,UNKNOWN_DATA_ELEMENT,ICD10,6,,,v048,,
v048_cnctv_ptnts,_cnctv_ptnts,,55,1,3,,314405,,6,1400,2927,v048_cnctv_ptnts,4,,26,"M30-M36 - Systemic connective tissue disorders (M30-M36)[106,861 facts; 8,732 patients]",48,\i2b2\Diagnosis\ICD10\A18911163\A18919097\,UNKNOWN_DATA_ELEMENT,ICD10,6,,,v048,,
v049_Spndlpths_cd,_Spndlpths_cd,,337,1,2,,313457,,9,2348,2645,v049_Spndlpths,5,,61,"M45-M49 - Spondylopathies (M45-M49)[199,035 facts; 36,727 patients]",49,\i2b2\Diagnosis\ICD10\A18911163\A18911205\,UNKNOWN_DATA_ELEMENT,ICD10,9,,,v049,,
v049_Spndlpths,_Spndlpths,,337,1,2,,313457,,9,2348,2645,v049_Spndlpths,5,,61,"M45-M49 - Spondylopathies (M45-M49)[199,035 facts; 36,727 patients]",49,\i2b2\Diagnosis\ICD10\A18911163\A18911205\,UNKNOWN_DATA_ELEMENT,ICD10,9,,,v049,,
v050_strctr_ptnts_cd,_strctr_ptnts_cd,,307,1,2,,313162,,6,2643,2675,v050_strctr_ptnts,5,,93,"M80-M85 - Disorders of bone density and structure (M80-M85)[195,375 facts; 27,235 patients]",50,\i2b2\Diagnosis\ICD10\A18911163\A18921696\,UNKNOWN_DATA_ELEMENT,ICD10,6,,,v050,,
v050_strctr_ptnts,_strctr_ptnts,,307,1,2,,313162,,6,2643,2675,v050_strctr_ptnts,5,,93,"M80-M85 - Disorders of bone density and structure (M80-M85)[195,375 facts; 27,235 patients]",50,\i2b2\Diagnosis\ICD10\A18911163\A18921696\,UNKNOWN_DATA_ELEMENT,ICD10,6,,,v050,,
v051_ostpths_ptnts_cd,_ostpths_ptnts_cd,,320,1,3,,314614,,7,1191,2662,v051_ostpths_ptnts,5,,54,"M86-M90 - Other osteopathies (M86-M90)[67,220 facts; 20,190 patients]",51,\i2b2\Diagnosis\ICD10\A18911163\A18905976\,UNKNOWN_DATA_ELEMENT,ICD10,7,,,v051,,
v051_ostpths_ptnts,_ostpths_ptnts,,320,1,3,,314614,,7,1191,2662,v051_ostpths_ptnts,5,,54,"M86-M90 - Other osteopathies (M86-M90)[67,220 facts; 20,190 patients]",51,\i2b2\Diagnosis\ICD10\A18911163\A18905976\,UNKNOWN_DATA_ELEMENT,ICD10,7,,,v051,,
v052_Glmrlr_ptnts_cd,_Glmrlr_ptnts_cd,,58,1,2,,315678,,3,127,2924,v052_Glmrlr_ptnts,4,,17,"N00-N08 - Glomerular diseases (N00-N08)[19,190 facts; 2,922 patients]",52,\i2b2\Diagnosis\ICD10\A18908579\A18924357\,UNKNOWN_DATA_ELEMENT,ICD10,3,,,v052,,
v052_Glmrlr_ptnts,_Glmrlr_ptnts,,58,1,2,,315678,,3,127,2924,v052_Glmrlr_ptnts,4,,17,"N00-N08 - Glomerular diseases (N00-N08)[19,190 facts; 2,922 patients]",52,\i2b2\Diagnosis\ICD10\A18908579\A18924357\,UNKNOWN_DATA_ELEMENT,ICD10,3,,,v052,,
v053_N_N__ptnts_cd,_N_N__ptnts_cd,,800,1,3,,306676,,10,9129,2182,v053_N_N__ptnts,5,,11,"N17-N19 - Acute kidney failure and chronic kidney disease (N17-N19)[342,512 facts; 32,801 patients]",53,\i2b2\Diagnosis\ICD10\A18908579\A18913874\,UNKNOWN_DATA_ELEMENT,ICD10,10,,,v053,,
v053_N_N__ptnts,_N_N__ptnts,,800,1,3,,306676,,10,9129,2182,v053_N_N__ptnts,5,,11,"N17-N19 - Acute kidney failure and chronic kidney disease (N17-N19)[342,512 facts; 32,801 patients]",53,\i2b2\Diagnosis\ICD10\A18908579\A18913874\,UNKNOWN_DATA_ELEMENT,ICD10,10,,,v053,,
v054_dsrdrs_ptnts_cd,_dsrdrs_ptnts_cd,,1635,1,3,,298734,,7,17071,1347,v054_dsrdrs_ptnts,5,,17,"N25-N29 - Other disorders of kidney and ureter (N25-N29)[144,603 facts; 23,605 patients]",54,\i2b2\Diagnosis\ICD10\A18908579\A18916485\,UNKNOWN_DATA_ELEMENT,ICD10,7,,,v054,,
v054_dsrdrs_ptnts,_dsrdrs_ptnts,,1635,1,3,,298734,,7,17071,1347,v054_dsrdrs_ptnts,5,,17,"N25-N29 - Other disorders of kidney and ureter (N25-N29)[144,603 facts; 23,605 patients]",54,\i2b2\Diagnosis\ICD10\A18908579\A18916485\,UNKNOWN_DATA_ELEMENT,ICD10,7,,,v054,,
v056_prdmntl_ptnts_cd,_prdmntl_ptnts_cd,,8,1,2,,315741,,3,64,2974,v056_prdmntl_ptnts,5,,9,"O20-O29 - Other maternal disorders predominantly related to pregnancy (O20-O29)[96,750 facts; 20,232 patients]",56,\i2b2\Diagnosis\ICD10\A20108497\A18924367\,UNKNOWN_DATA_ELEMENT,ICD10,3,,,v056,,
v056_prdmntl_ptnts,_prdmntl_ptnts,,8,1,2,,315741,,3,64,2974,v056_prdmntl_ptnts,5,,9,"O20-O29 - Other maternal disorders predominantly related to pregnancy (O20-O29)[96,750 facts; 20,232 patients]",56,\i2b2\Diagnosis\ICD10\A20108497\A18924367\,UNKNOWN_DATA_ELEMENT,ICD10,3,,,v056,,
v057_Cmplctns_ptnts_cd,_Cmplctns_ptnts_cd,,4,1,1,,315797,,2,8,2978,v057_Cmplctns_ptnts,3,,4,"O60-O77 - Complications of labor and delivery (O60-O77)[15,913 facts; 8,975 patients]",57,\i2b2\Diagnosis\ICD10\A20108497\A18916572\,UNKNOWN_DATA_ELEMENT,ICD10,2,,,v057,,
v057_Cmplctns_ptnts,_Cmplctns_ptnts,,4,1,1,,315797,,2,8,2978,v057_Cmplctns_ptnts,3,,4,"O60-O77 - Complications of labor and delivery (O60-O77)[15,913 facts; 8,975 patients]",57,\i2b2\Diagnosis\ICD10\A20108497\A18916572\,UNKNOWN_DATA_ELEMENT,ICD10,2,,,v057,,
v058_Cmplctns_prdmntl_cd,_Cmplctns_prdmntl_cd,,1,1,1,,315797,,3,8,2981,v058_Cmplctns_prdmntl,3,,1,"O85-O92 - Complications predominantly related to the puerperium (O85-O92)[3,399 facts; 1,914 patients]",58,\i2b2\Diagnosis\ICD10\A20108497\A18921816\,UNKNOWN_DATA_ELEMENT,ICD10,3,,,v058,,
v058_Cmplctns_prdmntl,_Cmplctns_prdmntl,,1,1,1,,315797,,3,8,2981,v058_Cmplctns_prdmntl,3,,1,"O85-O92 - Complications predominantly related to the puerperium (O85-O92)[3,399 facts; 1,914 patients]",58,\i2b2\Diagnosis\ICD10\A20108497\A18921816\,UNKNOWN_DATA_ELEMENT,ICD10,3,,,v058,,
v060_P_P__ptnts_cd,_P_P__ptnts_cd,,1,1,1,,315804,,3,1,2981,v060_P_P__ptnts,3,,1,"P10-P15 - Birth trauma (P10-P15)[1,062 facts; 638 patients]",60,\i2b2\Diagnosis\ICD10\A18916593\A18921818\,UNKNOWN_DATA_ELEMENT,ICD10,3,,,v060,,
v060_P_P__ptnts,_P_P__ptnts,,1,1,1,,315804,,3,1,2981,v060_P_P__ptnts,3,,1,"P10-P15 - Birth trauma (P10-P15)[1,062 facts; 638 patients]",60,\i2b2\Diagnosis\ICD10\A18916593\A18921818\,UNKNOWN_DATA_ELEMENT,ICD10,3,,,v060,,
v062_Cngntl_mlfrmtns_cd,_Cngntl_mlfrmtns_cd,,5,1,1,,315786,,4,19,2977,v062_Cngntl_mlfrmtns,4,,6,"Q00-Q07 - Congenital malformations of the nervous system (Q00-Q07)[16,911 facts; 3,034 patients]",62,\i2b2\Diagnosis\ICD10\A18916596\A18913987\,UNKNOWN_DATA_ELEMENT,ICD10,4,,,v062,,
v062_Cngntl_mlfrmtns,_Cngntl_mlfrmtns,,5,1,1,,315786,,4,19,2977,v062_Cngntl_mlfrmtns,4,,6,"Q00-Q07 - Congenital malformations of the nervous system (Q00-Q07)[16,911 facts; 3,034 patients]",62,\i2b2\Diagnosis\ICD10\A18916596\A18913987\,UNKNOWN_DATA_ELEMENT,ICD10,4,,,v062,,
v063_crcltr_rsprtr_cd,_crcltr_rsprtr_cd,,1041,1,4,,310009,,8,5796,1941,v063_crcltr_rsprtr,5,,38,"R00-R09 - Symptoms and signs involving the circulatory and respiratory systems (R00-R09)[708,505 facts; 181,569 patients]",63,\i2b2\Diagnosis\ICD10\A18919275\A18921837\,UNKNOWN_DATA_ELEMENT,ICD10,10,,,v063,,
v063_crcltr_rsprtr,_crcltr_rsprtr,,1041,1,4,,310009,,8,5796,1941,v063_crcltr_rsprtr,5,,38,"R00-R09 - Symptoms and signs involving the circulatory and respiratory systems (R00-R09)[708,505 facts; 181,569 patients]",63,\i2b2\Diagnosis\ICD10\A18919275\A18921837\,UNKNOWN_DATA_ELEMENT,ICD10,10,,,v063,,
v064_dgstv_ptnts_cd,_dgstv_ptnts_cd,,1145,1,4,,309534,,7,6271,1837,v064_dgstv_ptnts,5,,61,"R10-R19 - Symptoms and signs involving the digestive system and abdomen (R10-R19)[555,362 facts; 151,713 patients]",64,\i2b2\Diagnosis\ICD10\A18919275\A18911369\,UNKNOWN_DATA_ELEMENT,ICD10,8,,,v064,,
v064_dgstv_ptnts,_dgstv_ptnts,,1145,1,4,,309534,,7,6271,1837,v064_dgstv_ptnts,5,,61,"R10-R19 - Symptoms and signs involving the digestive system and abdomen (R10-R19)[555,362 facts; 151,713 patients]",64,\i2b2\Diagnosis\ICD10\A18919275\A18911369\,UNKNOWN_DATA_ELEMENT,ICD10,8,,,v064,,
v065_msclskltl_cd,_msclskltl_cd,,329,1,3,,314515,,5,1290,2653,v065_msclskltl,5,,21,"R25-R29 - Symptoms and signs involving the nervous and musculoskeletal systems (R25-R29)[192,224 facts; 43,824 patients]",65,\i2b2\Diagnosis\ICD10\A18919275\A18919278\,UNKNOWN_DATA_ELEMENT,ICD10,5,,,v065,,
v065_msclskltl,_msclskltl,,329,1,3,,314515,,5,1290,2653,v065_msclskltl,5,,21,"R25-R29 - Symptoms and signs involving the nervous and musculoskeletal systems (R25-R29)[192,224 facts; 43,824 patients]",65,\i2b2\Diagnosis\ICD10\A18919275\A18919278\,UNKNOWN_DATA_ELEMENT,ICD10,5,,,v065,,
v066_gntrnr_ptnts_cd,_gntrnr_ptnts_cd,,975,1,3,,310135,,13,5670,2007,v066_gntrnr_ptnts,5,,31,"R30-R39 - Symptoms and signs involving the genitourinary system (R30-R39)[378,246 facts; 73,645 patients]",66,\i2b2\Diagnosis\ICD10\A18919275\A18919279\,UNKNOWN_DATA_ELEMENT,ICD10,13,,,v066,,
v066_gntrnr_ptnts,_gntrnr_ptnts,,975,1,3,,310135,,13,5670,2007,v066_gntrnr_ptnts,5,,31,"R30-R39 - Symptoms and signs involving the genitourinary system (R30-R39)[378,246 facts; 73,645 patients]",66,\i2b2\Diagnosis\ICD10\A18919275\A18919279\,UNKNOWN_DATA_ELEMENT,ICD10,13,,,v066,,
v067_cgntn_prcptn_cd,_cgntn_prcptn_cd,,447,1,2,,314110,,5,1695,2535,v067_cgntn_prcptn,5,,38,"R40-R46 - Symptoms and signs involving cognition, perception, emotional state and behavior (R40-R46)[236,499 facts; 73,368 patients]",67,\i2b2\Diagnosis\ICD10\A18919275\A18906113\,UNKNOWN_DATA_ELEMENT,ICD10,5,,,v067,,
v067_cgntn_prcptn,_cgntn_prcptn,,447,1,2,,314110,,5,1695,2535,v067_cgntn_prcptn,5,,38,"R40-R46 - Symptoms and signs involving cognition, perception, emotional state and behavior (R40-R46)[236,499 facts; 73,368 patients]",67,\i2b2\Diagnosis\ICD10\A18919275\A18906113\,UNKNOWN_DATA_ELEMENT,ICD10,5,,,v067,,
v068_invlvng_ptnts_cd,_invlvng_ptnts_cd,,81,1,2,,315593,,4,212,2901,v068_invlvng_ptnts,5,,11,"R47-R49 - Symptoms and signs involving speech and voice (R47-R49)[51,449 facts; 13,146 patients]",68,\i2b2\Diagnosis\ICD10\A18919275\A18908742\,UNKNOWN_DATA_ELEMENT,ICD10,4,,,v068,,
v068_invlvng_ptnts,_invlvng_ptnts,,81,1,2,,315593,,4,212,2901,v068_invlvng_ptnts,5,,11,"R47-R49 - Symptoms and signs involving speech and voice (R47-R49)[51,449 facts; 13,146 patients]",68,\i2b2\Diagnosis\ICD10\A18919275\A18908742\,UNKNOWN_DATA_ELEMENT,ICD10,4,,,v068,,
v069_smptms_ptnts_cd,_smptms_ptnts_cd,,1280,1,3,,307549,,6,8256,1702,v069_smptms_ptnts,5,,49,"R50-R69 - General symptoms and signs (R50-R69)[843,589 facts; 202,018 patients]",69,\i2b2\Diagnosis\ICD10\A18919275\A18924508\,UNKNOWN_DATA_ELEMENT,ICD10,6,,,v069,,
v069_smptms_ptnts,_smptms_ptnts,,1280,1,3,,307549,,6,8256,1702,v069_smptms_ptnts,5,,49,"R50-R69 - General symptoms and signs (R50-R69)[843,589 facts; 202,018 patients]",69,\i2b2\Diagnosis\ICD10\A18919275\A18924508\,UNKNOWN_DATA_ELEMENT,ICD10,6,,,v069,,
v070_exmntn_ptnts_cd,_exmntn_ptnts_cd,,652,1,3,,312207,,5,3598,2330,v070_exmntn_ptnts,5,,30,"R70-R79 - Abnormal findings on examination of blood, without diagnosis (R70-R79)[357,998 facts; 83,545 patients]",70,\i2b2\Diagnosis\ICD10\A18919275\A18906118\,UNKNOWN_DATA_ELEMENT,ICD10,5,,,v070,,
v070_exmntn_ptnts,_exmntn_ptnts,,652,1,3,,312207,,5,3598,2330,v070_exmntn_ptnts,5,,30,"R70-R79 - Abnormal findings on examination of blood, without diagnosis (R70-R79)[357,998 facts; 83,545 patients]",70,\i2b2\Diagnosis\ICD10\A18919275\A18906118\,UNKNOWN_DATA_ELEMENT,ICD10,5,,,v070,,
v071_Abnrml_ptnts_cd,_Abnrml_ptnts_cd,,116,1,2,,314651,,3,1154,2866,v071_Abnrml_ptnts,5,,6,"R97-R97 - Abnormal tumor markers (R97)[42,083 facts; 6,430 patients]",71,\i2b2\Diagnosis\ICD10\A18919275\A18914004\,UNKNOWN_DATA_ELEMENT,ICD10,3,,,v071,,
v071_Abnrml_ptnts,_Abnrml_ptnts,,116,1,2,,314651,,3,1154,2866,v071_Abnrml_ptnts,5,,6,"R97-R97 - Abnormal tumor markers (R97)[42,083 facts; 6,430 patients]",71,\i2b2\Diagnosis\ICD10\A18919275\A18914004\,UNKNOWN_DATA_ELEMENT,ICD10,3,,,v071,,
v072_cnsqncs_ptnts_cd,_cnsqncs_ptnts_cd,,914,1,4,,310294,,12,5511,2068,v072_cnsqncs_ptnts,5,,1253,"S00-T88 - Injury, poisoning and certain other consequences of external causes (S00-T88)[1,053,484 facts; 209,835 patients]",72,\i2b2\Diagnosis\ICD10\A18906120\,UNKNOWN_DATA_ELEMENT,ICD10,12,,,v072,,
v072_cnsqncs_ptnts_dx,_cnsqncs_ptnts_dx,,914,1,4,,310294,,12,5511,2068,v072_cnsqncs_ptnts,5,,1253,"S00-T88 - Injury, poisoning and certain other consequences of external causes (S00-T88)[1,053,484 facts; 209,835 patients]",72,\i2b2\Diagnosis\ICD10\A18906120\,UNKNOWN_DATA_ELEMENT,ICD10,12,,,v072,,
v072_cnsqncs_ptnts,_cnsqncs_ptnts,,914,1,4,,310294,,12,5511,2068,v072_cnsqncs_ptnts,5,,1253,"S00-T88 - Injury, poisoning and certain other consequences of external causes (S00-T88)[1,053,484 facts; 209,835 patients]",72,\i2b2\Diagnosis\ICD10\A18906120\,UNKNOWN_DATA_ELEMENT,ICD10,12,,,v072,,
v073_stmblng_ptnts_cd,_stmblng_ptnts_cd,,162,1,3,,315404,,4,401,2820,v073_stmblng_ptnts,5,,30,"W00-W19 - Slipping, tripping, stumbling and falls (W00-W19)[57,725 facts; 32,676 patients]",73,\i2b2\Diagnosis\ICD10\A18925934\A18915934\,UNKNOWN_DATA_ELEMENT,ICD10,4,,,v073,,
v073_stmblng_ptnts_dx,_stmblng_ptnts_dx,,162,1,3,,315404,,4,401,2820,v073_stmblng_ptnts,5,,30,"W00-W19 - Slipping, tripping, stumbling and falls (W00-W19)[57,725 facts; 32,676 patients]",73,\i2b2\Diagnosis\ICD10\A18925934\A18915934\,UNKNOWN_DATA_ELEMENT,ICD10,4,,,v073,,
v073_stmblng_ptnts,_stmblng_ptnts,,162,1,3,,315404,,4,401,2820,v073_stmblng_ptnts,5,,30,"W00-W19 - Slipping, tripping, stumbling and falls (W00-W19)[57,725 facts; 32,676 patients]",73,\i2b2\Diagnosis\ICD10\A18925934\A18915934\,UNKNOWN_DATA_ELEMENT,ICD10,4,,,v073,,
v075_Encntrs_ptnts_cd,_Encntrs_ptnts_cd,,1449,1,3,,304105,,5,11700,1533,v075_Encntrs_ptnts,5,,69,"Z40-Z53 - Encounters for other specific health care (Z40-Z53)[623,100 facts; 133,741 patients]",75,\i2b2\Diagnosis\ICD10\A18916190\A18921455\,UNKNOWN_DATA_ELEMENT,ICD10,5,,,v075,,
v075_Encntrs_ptnts,_Encntrs_ptnts,,1449,1,3,,304105,,5,11700,1533,v075_Encntrs_ptnts,5,,69,"Z40-Z53 - Encounters for other specific health care (Z40-Z53)[623,100 facts; 133,741 patients]",75,\i2b2\Diagnosis\ICD10\A18916190\A18921455\,UNKNOWN_DATA_ELEMENT,ICD10,5,,,v075,,
v076_scnmc_crcmstncs_cd,_scnmc_crcmstncs_cd,,99,1,2,,315491,,4,314,2883,v076_scnmc_crcmstncs,5,,38,"Z55-Z65 - Persons with potential health hazards related to socioeconomic and psychosocial circumstances (Z55-Z65)[52,222 facts; 18,797 patients]",76,\i2b2\Diagnosis\ICD10\A18916190\A18924104\,UNKNOWN_DATA_ELEMENT,ICD10,4,,,v076,,
v076_scnmc_crcmstncs,_scnmc_crcmstncs,,99,1,2,,315491,,4,314,2883,v076_scnmc_crcmstncs,5,,38,"Z55-Z65 - Persons with potential health hazards related to socioeconomic and psychosocial circumstances (Z55-Z65)[52,222 facts; 18,797 patients]",76,\i2b2\Diagnosis\ICD10\A18916190\A18924104\,UNKNOWN_DATA_ELEMENT,ICD10,4,,,v076,,
v077_encntrng_crcmstncs_cd,_encntrng_crcmstncs_cd,,611,1,3,,313524,,4,2281,2371,v077_encntrng_crcmstncs,5,,31,"Z69-Z76 - Persons encountering health services in other circumstances (Z69-Z76)[249,920 facts; 94,492 patients]",77,\i2b2\Diagnosis\ICD10\A18916190\A18908291\,UNKNOWN_DATA_ELEMENT,ICD10,4,,,v077,,
v077_encntrng_crcmstncs,_encntrng_crcmstncs,,611,1,3,,313524,,4,2281,2371,v077_encntrng_crcmstncs,5,,31,"Z69-Z76 - Persons encountering health services in other circumstances (Z69-Z76)[249,920 facts; 94,492 patients]",77,\i2b2\Diagnosis\ICD10\A18916190\A18908291\,UNKNOWN_DATA_ELEMENT,ICD10,4,,,v077,,
v078_cndtns_inflncng_cd,_cndtns_inflncng_cd,,2273,1,4,,279975,,12,35830,709,v078_cndtns_inflncng,5,,306,"Z77-Z99 - Persons with potential health hazards related to family and personal history and certain conditions influencing health status (Z77-Z99)[2,341,777 facts; 275,530 patients]",78,\i2b2\Diagnosis\ICD10\A18916190\A18913595\,UNKNOWN_DATA_ELEMENT,ICD10,12,,,v078,,
v078_cndtns_inflncng,_cndtns_inflncng,,2273,1,4,,279975,,12,35830,709,v078_cndtns_inflncng,5,,306,"Z77-Z99 - Persons with potential health hazards related to family and personal history and certain conditions influencing health status (Z77-Z99)[2,341,777 facts; 275,530 patients]",78,\i2b2\Diagnosis\ICD10\A18916190\A18913595\,UNKNOWN_DATA_ELEMENT,ICD10,12,,,v078,,
v079_Lng__ptnts_cd,_Lng__ptnts_cd,,2982,1,1,,312823,,1,2982,0,v079_Lng__ptnts,,,8,"Language[1,477,385 facts; 1,477,385 patients]",79,\i2b2\Demographics\Language\,UNKNOWN_DATA_ELEMENT,DEM|LANGUAGE,1,,,v079,,
v079_Lng__ptnts,_Lng__ptnts,,2982,1,1,,312823,,1,2982,0,v079_Lng__ptnts,,,8,"Language[1,477,385 facts; 1,477,385 patients]",79,\i2b2\Demographics\Language\,UNKNOWN_DATA_ELEMENT,DEM|LANGUAGE,1,,,v079,,
v080_Ltn__ptnts_tf,_Ltn__ptnts_tf,,1723,1,1,,314082,,1,1723,1259,v080_Ltn__ptnts,,,1,"Hispanic or Latino[580,032 facts; 580,032 patients]",80,\i2b2\Demographics\Ethnicity\Hispanic or Latino\,ethnicity,DEM|ETHNICITY,1,,,v080,,
v080_Ltn__ptnts,_Ltn__ptnts,,1723,1,1,,314082,,1,1723,1259,v080_Ltn__ptnts,,,1,"Hispanic or Latino[580,032 facts; 580,032 patients]",80,\i2b2\Demographics\Ethnicity\Hispanic or Latino\,ethnicity,DEM|ETHNICITY,1,,,v080,,
